team,year,group,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offense,ppg_defense,SRS,SOS
Florida International,2011,1,8.0,5.0,0.615,5.0,3.0,0.625,25.0,19.5,-4.53,-8.68
North Texas,2011,1,5.0,7.0,0.417,4.0,4.0,0.5,24.8,30.7,-9.94,-3.86
Louisiana Monroe,2011,2,4.0,8.0,0.333,3.0,5.0,0.375,24.6,25.4,-7.8,-5.96
Troy,2011,2,3.0,9.0,0.25,2.0,6.0,0.25,22.4,33.7,-15.54,-5.62
Middle Tennessee State,2011,2,2.0,10.0,0.167,1.0,7.0,0.125,22.3,36.8,-18.86,-6.61
Florida Atlantic,2011,2,1.0,11.0,0.083,0.0,8.0,0.0,12.9,34.7,-22.63,-4.96
Louisiana Tech,2011,0,8.0,5.0,0.615,6.0,1.0,0.857,30.1,23.2,2.04,-2.73
Nevada,2011,1,7.0,6.0,0.538,5.0,2.0,0.714,31.7,25.2,0.47,-2.76
Utah State,2011,1,7.0,6.0,0.538,5.0,2.0,0.714,33.6,27.9,-2.22,-5.14
Hawaii,2011,1,6.0,7.0,0.462,3.0,4.0,0.429,31.5,29.1,-6.9,-7.29
San Jose State,2011,1,5.0,7.0,0.417,3.0,4.0,0.429,24.5,30.3,-5.97,-2.64
Fresno State,2011,2,4.0,9.0,0.308,3.0,4.0,0.429,28.5,35.2,-7.24,-2.47
New Mexico State,2011,2,4.0,9.0,0.308,2.0,5.0,0.286,24.5,36.8,-11.95,-3.79
Idaho,2011,2,2.0,10.0,0.167,1.0,6.0,0.143,20.3,33.3,-13.24,-2.99
Florida State,2012,0,12.0,2.0,0.857,7.0,1.0,0.875,39.3,14.7,13.56,-0.66
Clemson,2012,0,11.0,2.0,0.846,7.0,1.0,0.875,41.0,24.8,14.75,1.14
North Carolina State,2012,1,7.0,6.0,0.538,4.0,4.0,0.5,28.1,25.6,1.46,-0.77
Wake Forest,2012,2,5.0,7.0,0.417,3.0,5.0,0.375,18.5,31.8,-6.2,1.05
Maryland,2012,2,4.0,8.0,0.333,2.0,6.0,0.25,20.1,27.2,-6.59,-0.26
Boston College,2012,2,2.0,10.0,0.167,1.0,7.0,0.125,19.8,29.7,-6.74,2.01
North Carolina,2012,0,8.0,4.0,0.667,5.0,3.0,0.625,40.6,25.7,4.52,-2.98
Miami FL,2012,1,7.0,5.0,0.583,5.0,3.0,0.625,31.4,30.5,4.07,2.32
Georgia Tech,2012,1,7.0,7.0,0.5,5.0,3.0,0.625,33.6,28.3,5.18,2.89
Virginia Tech,2012,1,7.0,6.0,0.538,4.0,4.0,0.5,25.1,22.8,3.13,2.21
Duke,2012,1,6.0,7.0,0.462,3.0,5.0,0.375,31.5,36.0,-0.28,1.72
Virginia,2012,2,4.0,8.0,0.333,2.0,6.0,0.25,22.8,28.9,-3.84,0.99
Kansas State,2012,0,11.0,2.0,0.846,8.0,1.0,0.889,38.8,22.2,16.92,5.3
Oklahoma,2012,0,10.0,3.0,0.769,8.0,1.0,0.889,38.2,25.5,14.32,6.17
Texas,2012,0,9.0,4.0,0.692,5.0,4.0,0.556,35.7,29.2,11.18,5.57
Oklahoma State,2012,0,8.0,5.0,0.615,5.0,4.0,0.556,45.7,28.2,13.5,4.96
Baylor,2012,1,8.0,5.0,0.615,4.0,5.0,0.444,44.5,37.2,11.22,5.07
Texas Tech,2012,1,8.0,5.0,0.615,4.0,5.0,0.444,37.5,31.8,6.33,3.02
Texas Christian,2012,1,7.0,6.0,0.538,4.0,5.0,0.444,28.3,22.6,7.49,4.87
West Virginia,2012,1,7.0,6.0,0.538,4.0,5.0,0.444,39.5,38.1,4.03,4.34
Iowa State,2012,1,6.0,7.0,0.462,3.0,6.0,0.333,24.5,23.9,5.4,5.48
Kansas,2012,2,1.0,11.0,0.083,0.0,9.0,0.0,18.3,36.1,-6.7,6.22
Louisville,2012,0,11.0,2.0,0.846,5.0,2.0,0.714,31.2,23.8,5.88,-1.96
Cincinnati,2012,0,10.0,3.0,0.769,5.0,2.0,0.714,32.3,18.5,8.71,-3.37
Rutgers,2012,0,9.0,4.0,0.692,5.0,2.0,0.714,21.5,14.2,3.91,-2.55
Syracuse,2012,1,8.0,5.0,0.615,5.0,2.0,0.714,30.0,24.8,6.27,0.81
Pitt,2012,1,6.0,7.0,0.462,3.0,4.0,0.429,26.6,21.1,2.05,-0.64
Connecticut,2012,1,5.0,7.0,0.417,2.0,5.0,0.286,17.8,19.8,-5.35,-2.6
Temple,2012,2,4.0,7.0,0.364,2.0,5.0,0.286,24.7,31.2,-7.52,-1.15
South Florida,2012,2,3.0,9.0,0.25,1.0,6.0,0.143,20.6,27.4,-6.13,0.79
Wisconsin,2012,1,8.0,6.0,0.571,4.0,4.0,0.5,29.6,19.1,9.77,2.91
Ohio State,2012,0,12.0,0.0,1.0,8.0,0.0,1.0,37.2,22.8,13.81,0.89
Penn State,2012,0,8.0,4.0,0.667,6.0,2.0,0.75,29.1,19.1,9.7,0.53
Purdue,2012,1,6.0,7.0,0.462,3.0,5.0,0.375,28.7,31.2,-1.58,0.96
Indiana,2012,2,4.0,8.0,0.333,2.0,6.0,0.25,30.8,35.3,-5.53,-0.61
Illinois,2012,2,2.0,10.0,0.167,0.0,8.0,0.0,16.7,32.1,-10.35,2.56
Nebraska,2012,0,10.0,4.0,0.714,7.0,1.0,0.875,34.8,27.6,9.79,4.22
Michigan,2012,0,8.0,5.0,0.615,6.0,2.0,0.75,29.8,19.8,10.01,3.85
Northwestern,2012,0,10.0,3.0,0.769,5.0,3.0,0.625,31.7,22.5,8.97,0.97
Michigan State,2012,1,7.0,6.0,0.538,3.0,5.0,0.375,20.0,16.3,6.21,3.75
Minnesota,2012,1,6.0,7.0,0.462,2.0,6.0,0.25,22.1,24.7,-3.25,0.13
Iowa,2012,2,4.0,8.0,0.333,2.0,6.0,0.25,19.3,22.9,-2.62,1.63
UCF,2012,0,10.0,4.0,0.714,7.0,1.0,0.875,35.4,22.1,6.65,-3.78
East Carolina,2012,1,8.0,5.0,0.615,7.0,1.0,0.875,31.5,31.6,-4.23,-4.92
Marshall,2012,1,5.0,7.0,0.417,4.0,4.0,0.5,40.9,43.1,-6.04,-4.87
Memphis,2012,2,4.0,8.0,0.333,4.0,4.0,0.5,24.4,30.3,-11.09,-5.34
UAB,2012,2,3.0,9.0,0.25,2.0,6.0,0.25,28.3,37.5,-11.66,-3.07
Southern Mississippi,2012,2,0.0,12.0,0.0,0.0,8.0,0.0,19.7,37.8,-18.04,-1.29
Tulsa,2012,0,11.0,3.0,0.786,7.0,1.0,0.875,34.7,23.6,6.24,-2.34
SMU,2012,1,7.0,6.0,0.538,5.0,3.0,0.625,31.0,25.7,1.64,-1.59
Rice,2012,1,7.0,6.0,0.538,4.0,4.0,0.5,31.8,30.5,-3.52,-4.83
Houston,2012,1,5.0,7.0,0.417,4.0,4.0,0.5,32.4,36.0,-5.54,-3.54
UTEP,2012,2,3.0,9.0,0.25,2.0,6.0,0.25,21.2,29.8,-9.29,-1.46
Tulane,2012,2,2.0,10.0,0.167,2.0,6.0,0.25,21.4,38.4,-14.23,-1.81
Notre Dame,2012,0,12.0,1.0,0.923,0.0,0.0,0.0,25.8,12.8,16.98,6.14
BYU,2012,1,8.0,5.0,0.615,0.0,0.0,0.0,28.7,14.0,8.77,-0.61
Navy,2012,1,8.0,5.0,0.615,0.0,0.0,0.0,25.0,25.7,-1.76,-2.61
Army,2012,2,2.0,10.0,0.167,0.0,0.0,0.0,24.3,35.3,-14.23,-4.23
Kent State,2012,0,11.0,3.0,0.786,8.0,0.0,1.0,33.1,24.5,2.75,-6.39
Bowling Green,2012,1,8.0,5.0,0.615,6.0,2.0,0.75,22.9,16.8,-0.27,-6.11
Ohio,2012,1,9.0,4.0,0.692,4.0,4.0,0.5,31.7,24.8,-2.75,-8.06
Buffalo,2012,2,4.0,8.0,0.333,3.0,5.0,0.375,21.3,28.5,-8.78,-3.36
Miami OH,2012,2,4.0,8.0,0.333,3.0,5.0,0.375,23.3,34.9,-11.7,-3.45
Massachusetts,2012,2,1.0,11.0,0.083,1.0,7.0,0.125,12.7,40.2,-20.97,-3.55
Akron,2012,2,1.0,11.0,0.083,0.0,8.0,0.0,26.1,35.7,-15.31,-4.31
Northern Illinois,2012,0,12.0,2.0,0.857,8.0,0.0,1.0,38.6,19.9,4.64,-7.5
Ball State,2012,0,9.0,4.0,0.692,6.0,2.0,0.75,33.6,32.0,-1.6,-3.52
Toledo,2012,0,9.0,4.0,0.692,6.0,2.0,0.75,31.5,28.4,-0.18,-4.18
Central Michigan,2012,1,7.0,6.0,0.538,4.0,4.0,0.5,28.8,32.4,-7.91,-6.76
Western Michigan,2012,2,4.0,8.0,0.333,2.0,6.0,0.25,29.3,29.7,-9.54,-7.04
Eastern Michigan,2012,2,2.0,10.0,0.167,1.0,7.0,0.125,21.3,37.6,-16.61,-3.45
Boise State,2012,0,11.0,2.0,0.846,7.0,1.0,0.875,30.2,15.8,7.85,-5.08
Fresno State,2012,0,9.0,4.0,0.692,7.0,1.0,0.875,37.9,23.8,6.33,-3.51
San Diego State,2012,0,9.0,4.0,0.692,7.0,1.0,0.875,32.8,24.4,2.69,-4.46
Air Force,2012,1,6.0,7.0,0.462,5.0,3.0,0.625,27.4,29.0,-7.35,-6.35
Nevada,2012,1,7.0,6.0,0.538,4.0,4.0,0.5,37.8,33.8,-3.6,-4.76
Colorado State,2012,2,4.0,8.0,0.333,3.0,5.0,0.375,21.2,30.3,-12.54,-4.21
Wyoming,2012,2,4.0,8.0,0.333,3.0,5.0,0.375,26.8,33.4,-10.78,-4.53
UNLV,2012,2,2.0,11.0,0.154,2.0,6.0,0.25,22.0,32.6,-14.57,-4.42
New Mexico,2012,2,4.0,9.0,0.308,1.0,7.0,0.125,25.8,30.2,-9.91,-5.76
Hawaii,2012,2,3.0,9.0,0.25,1.0,7.0,0.125,21.2,35.7,-13.75,-3.66
Stanford,2012,0,12.0,2.0,0.857,8.0,1.0,0.889,27.9,17.2,15.58,6.58
Oregon,2012,0,12.0,1.0,0.923,8.0,1.0,0.889,49.6,21.6,23.43,4.05
Oregon State,2012,0,9.0,4.0,0.692,6.0,3.0,0.667,32.5,20.6,12.14,6.06
Washington,2012,1,7.0,6.0,0.538,5.0,4.0,0.556,24.0,24.2,4.9,4.75
California,2012,2,3.0,9.0,0.25,2.0,7.0,0.222,23.0,33.1,-0.65,6.1
Washington State,2012,2,3.0,9.0,0.25,1.0,8.0,0.111,20.4,33.7,-6.89,3.36
UCLA,2012,0,9.0,5.0,0.643,6.0,3.0,0.667,34.4,27.6,8.75,4.75
Arizona State,2012,1,8.0,5.0,0.615,5.0,4.0,0.556,38.4,24.3,9.0,1.77
USC,2012,1,7.0,6.0,0.538,5.0,4.0,0.556,32.1,24.3,10.53,5.76
Arizona,2012,1,8.0,5.0,0.615,4.0,5.0,0.444,38.2,35.3,9.38,5.15
Utah,2012,1,5.0,7.0,0.417,3.0,6.0,0.333,26.7,25.1,2.51,3.09
Colorado,2012,2,1.0,11.0,0.083,1.0,8.0,0.111,17.8,46.0,-12.66,4.51
Georgia,2012,0,12.0,2.0,0.857,7.0,1.0,0.875,37.8,19.6,17.93,4.21
Florida,2012,0,11.0,2.0,0.846,7.0,1.0,0.875,26.5,14.5,17.35,6.82
South Carolina,2012,0,11.0,2.0,0.846,6.0,2.0,0.75,31.5,18.2,15.97,4.51
Vanderbilt,2012,0,9.0,4.0,0.692,5.0,3.0,0.625,30.0,18.7,9.88,2.26
Missouri,2012,1,5.0,7.0,0.417,2.0,6.0,0.25,25.8,28.4,5.54,9.12
Tennessee,2012,2,5.0,7.0,0.417,1.0,7.0,0.125,36.2,35.7,4.07,4.82
Kentucky,2012,2,2.0,10.0,0.167,0.0,8.0,0.0,17.9,31.0,-5.29,5.79
Alabama,2012,0,13.0,1.0,0.929,7.0,1.0,0.875,38.7,10.9,24.51,5.51
Texas A&M,2012,0,11.0,2.0,0.846,6.0,2.0,0.75,44.5,21.8,20.05,5.13
LSU,2012,0,10.0,3.0,0.769,6.0,2.0,0.75,29.8,17.5,14.76,5.45
Mississippi State,2012,1,8.0,5.0,0.615,4.0,4.0,0.5,29.5,23.3,6.15,2.99
Ole Miss,2012,1,7.0,6.0,0.538,3.0,5.0,0.375,31.5,27.6,8.43,5.2
Arkansas,2012,2,4.0,8.0,0.333,2.0,6.0,0.25,23.5,30.4,2.4,6.4
Auburn,2012,2,3.0,9.0,0.25,0.0,8.0,0.0,18.7,28.3,-0.92,6.91
Arkansas State,2012,0,10.0,3.0,0.769,7.0,1.0,0.875,34.9,24.5,4.94,-2.22
Louisiana,2012,0,9.0,4.0,0.692,6.0,2.0,0.75,35.5,28.1,3.45,-3.63
Middle Tennessee State,2012,1,8.0,4.0,0.667,6.0,2.0,0.75,26.6,28.0,-2.45,-4.95
Louisiana Monroe,2012,1,8.0,5.0,0.615,6.0,2.0,0.75,33.8,29.2,-0.03,-3.27
Western Kentucky,2012,1,7.0,6.0,0.538,4.0,4.0,0.5,28.2,25.5,-1.5,-3.73
Troy,2012,1,5.0,7.0,0.417,3.0,5.0,0.375,30.6,30.5,-3.45,-3.45
North Texas,2012,2,4.0,8.0,0.333,3.0,5.0,0.375,20.9,27.8,-8.41,-1.24
Florida Atlantic,2012,2,3.0,9.0,0.25,2.0,6.0,0.25,20.5,30.8,-9.83,-1.08
Florida International,2012,2,3.0,9.0,0.25,2.0,6.0,0.25,25.0,31.7,-9.1,-2.27
South Alabama,2012,2,2.0,11.0,0.154,1.0,7.0,0.125,18.5,29.5,-15.26,-4.26
Utah State,2012,0,11.0,2.0,0.846,6.0,0.0,1.0,34.9,15.4,10.71,-4.68
San Jose State,2012,0,11.0,2.0,0.846,5.0,1.0,0.833,34.8,21.3,7.9,-3.02
Louisiana Tech,2012,0,9.0,3.0,0.75,4.0,2.0,0.667,51.5,38.5,6.33,-4.26
UTSA,2012,1,8.0,4.0,0.667,3.0,3.0,0.5,31.2,28.8,-7.49,-8.83
Texas State,2012,2,4.0,8.0,0.333,2.0,4.0,0.333,28.6,33.5,-8.03,-4.19
Idaho,2012,2,1.0,11.0,0.083,1.0,5.0,0.167,15.8,42.4,-17.38,-0.79
New Mexico State,2012,2,1.0,11.0,0.083,0.0,6.0,0.0,18.7,39.4,-19.0,-3.25
Florida State,2013,0,14.0,0.0,1.0,8.0,0.0,1.0,51.6,12.1,23.36,1.29
Clemson,2013,0,11.0,2.0,0.846,7.0,1.0,0.875,40.2,22.2,14.98,3.06
Boston College,2013,1,7.0,6.0,0.538,4.0,4.0,0.5,27.7,28.9,1.28,2.2
Syracuse,2013,1,7.0,6.0,0.538,4.0,4.0,0.5,22.7,25.4,2.81,2.88
Maryland,2013,1,7.0,6.0,0.538,3.0,5.0,0.375,26.2,25.3,0.64,-0.97
Wake Forest,2013,2,4.0,8.0,0.333,2.0,6.0,0.25,18.3,24.1,0.0,2.17
North Carolina State,2013,2,3.0,9.0,0.25,0.0,8.0,0.0,22.8,30.2,-5.66,1.59
Duke,2013,0,10.0,4.0,0.714,6.0,2.0,0.75,32.8,26.6,7.86,2.36
Miami FL,2013,0,9.0,4.0,0.692,5.0,3.0,0.625,33.8,26.8,6.59,2.51
Virginia Tech,2013,1,8.0,5.0,0.615,5.0,3.0,0.625,22.5,19.3,6.41,4.49
Georgia Tech,2013,1,7.0,6.0,0.538,5.0,3.0,0.625,35.1,22.8,7.21,3.67
North Carolina,2013,1,7.0,6.0,0.538,4.0,4.0,0.5,32.7,24.5,6.22,1.91
Pitt,2013,1,7.0,6.0,0.538,3.0,5.0,0.375,26.3,27.2,3.72,3.49
Virginia,2013,2,2.0,10.0,0.167,0.0,8.0,0.0,19.8,33.3,-4.94,6.06
UCF,2013,0,12.0,1.0,0.923,8.0,0.0,1.0,34.6,21.3,8.42,-2.96
Louisville,2013,0,12.0,1.0,0.923,7.0,1.0,0.875,35.2,12.2,9.99,-5.85
Cincinnati,2013,0,9.0,4.0,0.692,6.0,2.0,0.75,32.1,21.0,0.41,-6.9
Houston,2013,1,8.0,5.0,0.615,5.0,3.0,0.625,33.2,21.8,4.93,-1.92
SMU,2013,1,5.0,7.0,0.417,4.0,4.0,0.5,26.8,33.3,-7.44,-2.44
Rutgers,2013,1,6.0,7.0,0.462,3.0,5.0,0.375,26.5,29.8,-5.68,-3.37
Connecticut,2013,2,3.0,9.0,0.25,3.0,5.0,0.375,20.6,30.3,-11.97,-2.97
South Florida,2013,2,2.0,10.0,0.167,2.0,6.0,0.25,13.8,28.6,-13.56,-0.47
Memphis,2013,2,3.0,9.0,0.25,1.0,7.0,0.125,19.5,24.6,-7.41,-2.66
Temple,2013,2,2.0,10.0,0.167,1.0,7.0,0.125,24.9,29.8,-10.3,-3.8
Baylor,2013,0,11.0,2.0,0.846,8.0,1.0,0.889,52.4,23.5,16.87,1.87
Oklahoma,2013,0,11.0,2.0,0.846,7.0,2.0,0.778,32.8,22.1,13.19,4.12
Oklahoma State,2013,0,10.0,3.0,0.769,7.0,2.0,0.778,39.1,21.6,16.83,3.76
Texas,2013,0,8.0,5.0,0.615,7.0,2.0,0.778,29.3,25.8,7.45,5.45
Kansas State,2013,1,8.0,5.0,0.615,5.0,4.0,0.556,33.2,22.9,10.01,1.09
Texas Tech,2013,1,8.0,5.0,0.615,4.0,5.0,0.444,35.8,30.5,5.32,2.71
Texas Christian,2013,2,4.0,8.0,0.333,2.0,7.0,0.222,25.1,25.3,1.94,3.85
West Virginia,2013,2,4.0,8.0,0.333,2.0,7.0,0.222,26.3,33.3,-3.74,2.1
Iowa State,2013,2,3.0,9.0,0.25,2.0,7.0,0.222,24.8,36.0,-3.57,3.34
Kansas,2013,2,3.0,9.0,0.25,1.0,8.0,0.111,15.3,31.8,-8.58,2.84
Ohio State,2013,0,12.0,2.0,0.857,8.0,0.0,1.0,45.5,22.6,15.65,1.43
Wisconsin,2013,0,9.0,4.0,0.692,6.0,2.0,0.75,34.8,16.3,14.2,2.28
Penn State,2013,1,7.0,5.0,0.583,4.0,4.0,0.5,28.7,26.2,3.4,1.07
Indiana,2013,1,5.0,7.0,0.417,3.0,5.0,0.375,38.4,38.8,4.41,4.74
Illinois,2013,2,4.0,8.0,0.333,1.0,7.0,0.125,29.7,35.4,-3.86,1.98
Purdue,2013,2,1.0,11.0,0.083,0.0,8.0,0.0,14.9,38.0,-12.43,4.98
Michigan State,2013,0,13.0,1.0,0.929,8.0,0.0,1.0,29.4,13.2,14.74,0.67
Nebraska,2013,0,9.0,4.0,0.692,5.0,3.0,0.625,31.9,24.8,5.22,0.45
Iowa,2013,1,8.0,5.0,0.615,5.0,3.0,0.625,26.3,18.9,7.31,2.31
Minnesota,2013,1,8.0,5.0,0.615,4.0,4.0,0.5,25.7,22.2,5.27,1.35
Michigan,2013,1,7.0,6.0,0.538,3.0,5.0,0.375,32.2,26.8,5.53,3.3
Northwestern,2013,2,5.0,7.0,0.417,1.0,7.0,0.125,26.2,27.1,1.2,2.03
Marshall,2013,0,10.0,4.0,0.714,7.0,1.0,0.875,42.1,22.9,3.07,-8.21
East Carolina,2013,0,10.0,3.0,0.769,6.0,2.0,0.75,40.2,24.8,4.3,-7.17
Middle Tennessee State,2013,1,8.0,5.0,0.615,6.0,2.0,0.75,29.0,26.2,-3.71,-5.63
Florida Atlantic,2013,1,6.0,6.0,0.5,4.0,4.0,0.5,26.4,22.3,-3.53,-5.62
UAB,2013,2,2.0,10.0,0.167,1.0,7.0,0.125,26.3,43.8,-15.82,-3.74
Florida International,2013,2,1.0,11.0,0.083,1.0,7.0,0.125,9.8,37.0,-23.53,-5.53
Southern Mississippi,2013,2,1.0,11.0,0.083,1.0,7.0,0.125,17.1,41.9,-21.13,-4.55
Rice,2013,0,10.0,4.0,0.714,7.0,1.0,0.875,29.6,24.4,0.15,-4.78
North Texas,2013,0,9.0,4.0,0.692,6.0,2.0,0.75,31.8,17.8,3.05,-6.95
UTSA,2013,1,7.0,5.0,0.583,6.0,2.0,0.75,25.6,26.3,-3.01,-3.18
Tulane,2013,1,7.0,6.0,0.538,5.0,3.0,0.625,24.8,21.4,-3.22,-5.22
Louisiana Tech,2013,2,4.0,8.0,0.333,3.0,5.0,0.375,19.2,26.3,-15.66,-9.91
Tulsa,2013,2,3.0,9.0,0.25,2.0,6.0,0.25,21.1,33.9,-11.77,-1.27
UTEP,2013,2,2.0,10.0,0.167,1.0,7.0,0.125,21.8,39.3,-18.17,-6.5
Navy,2013,1,9.0,4.0,0.692,0.0,0.0,0.0,33.5,24.4,4.26,-2.89
Notre Dame,2013,1,9.0,4.0,0.692,0.0,0.0,0.0,27.2,22.4,9.5,4.5
BYU,2013,1,8.0,5.0,0.615,0.0,0.0,0.0,30.2,22.1,10.23,3.77
Army,2013,2,3.0,9.0,0.25,0.0,0.0,0.0,24.4,31.6,-12.36,-5.27
New Mexico State,2013,2,2.0,10.0,0.167,0.0,0.0,0.0,20.9,44.6,-19.36,-3.77
Idaho,2013,2,1.0,11.0,0.083,0.0,0.0,0.0,18.2,46.8,-19.3,-1.3
Bowling Green,2013,0,10.0,4.0,0.714,7.0,1.0,0.875,34.8,15.9,4.89,-7.18
Buffalo,2013,1,8.0,5.0,0.615,6.0,2.0,0.75,30.3,24.4,-1.48,-7.33
Ohio,2013,1,7.0,6.0,0.538,4.0,4.0,0.5,27.4,27.5,-5.77,-6.85
Akron,2013,1,5.0,7.0,0.417,4.0,4.0,0.5,20.2,28.6,-9.86,-4.28
Kent State,2013,2,4.0,8.0,0.333,3.0,5.0,0.375,20.8,26.9,-9.6,-4.02
Massachusetts,2013,2,1.0,11.0,0.083,1.0,7.0,0.125,11.7,33.0,-20.4,-3.82
Miami OH,2013,2,0.0,12.0,0.0,0.0,8.0,0.0,9.8,35.7,-23.48,-4.65
Northern Illinois,2013,0,12.0,2.0,0.857,8.0,0.0,1.0,39.6,25.1,3.56,-8.51
Ball State,2013,0,10.0,3.0,0.769,7.0,1.0,0.875,38.5,24.7,2.29,-9.55
Toledo,2013,1,7.0,5.0,0.583,5.0,3.0,0.625,33.0,28.6,-0.03,-3.36
Central Michigan,2013,1,6.0,6.0,0.5,5.0,3.0,0.625,23.3,28.6,-11.97,-8.72
Eastern Michigan,2013,2,2.0,10.0,0.167,1.0,7.0,0.125,18.8,45.2,-22.84,-4.75
Western Michigan,2013,2,1.0,11.0,0.083,1.0,7.0,0.125,17.2,35.4,-19.16,-4.33
Utah State,2013,0,9.0,5.0,0.643,7.0,1.0,0.875,31.8,17.1,6.7,-2.02
Boise State,2013,0,8.0,5.0,0.615,6.0,2.0,0.75,37.5,24.8,3.88,-2.89
Colorado State,2013,1,8.0,6.0,0.571,5.0,3.0,0.625,36.2,29.8,-0.23,-4.81
Wyoming,2013,2,5.0,7.0,0.417,3.0,5.0,0.375,31.3,36.7,-9.36,-5.61
New Mexico,2013,2,3.0,9.0,0.25,1.0,7.0,0.125,32.8,42.8,-14.1,-4.52
Air Force,2013,2,2.0,10.0,0.167,0.0,8.0,0.0,24.7,40.0,-14.88,-3.22
Fresno State,2013,0,11.0,2.0,0.846,7.0,1.0,0.875,43.4,30.3,5.04,-5.04
San Diego State,2013,1,8.0,5.0,0.615,6.0,2.0,0.75,29.8,31.7,-4.68,-4.14
UNLV,2013,1,7.0,6.0,0.538,5.0,3.0,0.625,29.9,31.8,-3.9,-3.52
San Jose State,2013,1,6.0,6.0,0.5,5.0,3.0,0.625,32.4,35.1,-3.28,-0.62
Nevada,2013,2,4.0,8.0,0.333,3.0,5.0,0.375,26.9,34.4,-3.6,0.57
Hawaii,2013,2,1.0,11.0,0.083,0.0,8.0,0.0,27.4,38.8,-11.13,0.04
Stanford,2013,0,11.0,3.0,0.786,7.0,2.0,0.778,32.3,19.0,18.96,8.74
Oregon,2013,0,11.0,2.0,0.846,7.0,2.0,0.778,45.5,20.5,21.27,5.03
Washington,2013,0,9.0,4.0,0.692,5.0,4.0,0.556,37.9,22.8,15.12,6.58
Oregon State,2013,1,7.0,6.0,0.538,4.0,5.0,0.444,34.8,31.4,8.11,4.72
Washington State,2013,1,6.0,7.0,0.462,4.0,5.0,0.444,31.0,32.5,5.09,6.94
California,2013,2,1.0,11.0,0.083,0.0,9.0,0.0,23.0,45.9,-8.58,9.34
Arizona State,2013,0,10.0,4.0,0.714,8.0,1.0,0.889,39.7,26.6,17.5,9.21
UCLA,2013,0,10.0,3.0,0.769,6.0,3.0,0.667,36.9,23.2,17.1,6.48
USC,2013,0,10.0,4.0,0.714,6.0,3.0,0.667,29.7,21.2,13.72,6.22
Arizona,2013,1,8.0,5.0,0.615,4.0,5.0,0.444,33.5,24.2,12.6,5.07
Utah,2013,1,5.0,7.0,0.417,2.0,7.0,0.222,29.2,28.0,6.96,9.55
Colorado,2013,2,4.0,8.0,0.333,1.0,8.0,0.111,25.4,38.3,-1.99,6.18
Missouri,2013,0,12.0,2.0,0.857,7.0,1.0,0.875,39.1,23.1,19.97,6.4
South Carolina,2013,0,11.0,2.0,0.846,6.0,2.0,0.75,34.1,20.3,16.06,6.29
Georgia,2013,0,8.0,5.0,0.615,5.0,3.0,0.625,36.7,29.0,12.82,7.59
Vanderbilt,2013,1,9.0,4.0,0.692,4.0,4.0,0.5,30.1,24.6,8.01,2.47
Florida,2013,1,4.0,8.0,0.333,3.0,5.0,0.375,18.8,21.1,4.67,7.17
Tennessee,2013,1,5.0,7.0,0.417,2.0,6.0,0.25,23.8,29.0,4.29,8.37
Kentucky,2013,2,2.0,10.0,0.167,0.0,8.0,0.0,20.5,31.2,-3.51,5.41
Auburn,2013,0,12.0,2.0,0.857,7.0,1.0,0.875,39.5,24.7,18.8,7.88
Alabama,2013,0,11.0,2.0,0.846,7.0,1.0,0.875,38.2,13.9,20.06,3.76
LSU,2013,0,10.0,3.0,0.769,5.0,3.0,0.625,35.8,22.0,14.59,4.28
Texas A&M,2013,0,9.0,4.0,0.692,4.0,4.0,0.5,44.2,32.2,13.38,5.07
Ole Miss,2013,1,8.0,5.0,0.615,3.0,5.0,0.375,30.0,23.7,10.42,5.89
Mississippi State,2013,1,7.0,6.0,0.538,3.0,5.0,0.375,27.7,23.0,7.72,6.95
Arkansas,2013,2,3.0,9.0,0.25,0.0,8.0,0.0,20.7,30.8,-1.32,5.18
Louisiana,2013,1,9.0,4.0,0.692,5.0,2.0,0.714,33.8,26.5,-2.01,-6.63
Arkansas State,2013,1,8.0,5.0,0.615,5.0,2.0,0.714,29.2,26.2,-1.86,-3.71
Western Kentucky,2013,1,8.0,4.0,0.667,4.0,3.0,0.571,30.8,24.6,-0.52,-5.94
Louisiana Monroe,2013,1,6.0,6.0,0.5,4.0,3.0,0.571,22.3,30.2,-6.81,-2.56
South Alabama,2013,1,6.0,6.0,0.5,4.0,3.0,0.571,29.4,25.2,-2.44,-5.52
Troy,2013,1,6.0,6.0,0.5,4.0,3.0,0.571,34.1,35.9,-5.33,-4.08
Texas State,2013,1,6.0,6.0,0.5,2.0,5.0,0.286,23.9,27.3,-10.53,-8.2
Georgia State,2013,2,0.0,12.0,0.0,0.0,7.0,0.0,18.8,36.7,-20.2,-4.78
Florida State,2014,0,13.0,1.0,0.929,8.0,0.0,1.0,33.7,25.6,14.48,5.13
Clemson,2014,0,10.0,3.0,0.769,6.0,2.0,0.75,30.8,16.7,11.63,2.86
Louisville,2014,0,9.0,4.0,0.692,5.0,3.0,0.625,31.2,21.8,10.52,3.22
Boston College,2014,1,7.0,6.0,0.538,4.0,4.0,0.5,26.2,21.3,6.04,2.35
North Carolina State,2014,1,8.0,5.0,0.615,3.0,5.0,0.375,30.2,27.0,4.17,1.25
Syracuse,2014,2,3.0,9.0,0.25,1.0,7.0,0.125,17.1,24.3,-4.84,3.0
